Stkcd,Chgtype,Annoudt
4,AB,1999/4/24
4,BA,2001/3/6
4,AD,2006/4/20
4,DB,2007/5/24
4,BD,2009/4/20
4,DB,2010/5/28
4,BA,2011/6/7
5,AB,2003/4/15
5,BD,2003/4/30
5,DB,2004/5/17
5,BA,2008/6/24
7,AB,2001/4/18
7,BA,2002/4/11
7,AB,2007/4/20
7,BA,2012/5/3
8,AB,2002/4/29
8,BD,2003/4/30
8,DB,2004/2/19
8,BA,2005/2/18
8,AD,2007/3/29
8,DB,2008/4/2
8,BA,2013/4/18
9,AB,1999/4/29
9,BA,2000/4/13
10,AB,2000/4/26
10,BA,2001/4/9
10,AD,2006/4/26
10,DB,2007/3/19
10,BA,2013/10/17
11,AB,2000/4/29
11,BA,2005/3/7
11,AD,2008/4/15
11,DA,2009/9/15
13,AB,2002/4/30
13,BD,2003/4/30
13,AX,2004/9/17
14,AB,1998/6/12
14,BA,2002/2/7
17,AB,1999/4/30
17,BD,2005/4/29
17,DB,2007/2/8
17,BD,2010/4/27
17,DA,2014/5/13
18,AB,2007/8/27
18,BD,2009/4/23
18,DB,2010/5/28
18,BD,2013/4/23
18,DA,2014/3/12
20,AB,1999/4/24
20,BA,2000/3/28
20,AB,2004/4/26
20,BD,2005/4/28
20,DB,2006/11/21
20,BA,2009/5/18
24,AX,2015/12/28
25,AB,2000/4/18
25,BA,2006/3/7
30,AB,1998/6/12
30,BD,2003/4/20
30,DB,2004/4/20
30,BD,2006/4/3
30,DB,2008/10/30
30,BD,2009/4/8
30,DA,2013/4/23
33,AB,2001/4/30
33,BA,2002/4/16
33,AD,2014/4/30
33,DA,2017/5/18
33,TX,2017/7/7
34,AB,1999/4/29
34,BA,2001/1/17
34,AB,2005/4/29
34,BD,2006/4/27
34,DB,2007/8/20
34,BD,2009/4/28
34,DB,2010/9/13
34,BA,2011/3/31
35,AD,2005/6/29
35,DB,2005/9/1
35,BD,2006/4/29
35,DB,2007/6/14
35,BD,2010/4/27
35,DB,2011/8/10
35,BD,2011/10/11
35,DA,2014/4/21
36,AD,2009/4/27
36,DA,2010/6/3
37,AD,2016/4/1
37,DA,2017/4/14
38,AB,2000/4/11
38,BA,2001/4/5
38,AD,2006/4/27
38,DA,2013/5/13
40,AB,2003/4/17
40,BD,2003/5/12
40,DB,2004/4/30
40,BA,2005/5/24
47,AB,2001/4/6
47,AX,2003/5/30
48,AB,2001/4/30
48,BA,2005/5/12
48,AD,2007/4/26
48,DB,2008/5/19
48,BA,2012/5/30
48,AD,2018/6/29
49,AB,1998/6/9
49,BA,1999/4/21
49,AB,2004/2/11
49,BA,2005/3/15
56,AD,2012/4/20
56,DA,2014/3/28
58,AD,2007/4/26
58,DB,2008/5/19
58,BA,2009/6/29
59,AD,2015/4/14
59,DA,2016/4/19
68,AB,2010/3/31
68,BA,2013/5/20
68,AD,2015/3/24
68,DA,2016/4/11
100,AD,2007/4/26
100,DA,2008/3/27
150,AB,2002/4/29
150,BD,2004/3/23
150,DA,2005/3/30
150,AD,2007/4/3
150,DA,2008/5/14
155,AD,2012/4/26
155,DA,2013/6/5
155,AB,2015/4/1
155,BD,2015/4/30
155,DA,2017/12/13
156,AD,2005/3/21
156,DA,2012/10/12
403,AD,2006/5/8
403,DB,2014/11/6
403,BA,2018/11/21
405,AB,2002/4/16
405,AX,2004/3/19
406,AX,2006/4/20
408,AD,2006/4/29
408,DB,2007/10/30
408,BD,2010/4/27
408,DB,2011/5/25
408,BA,2012/11/27
408,AD,2016/4/27
408,DA,2017/5/22
409,AB,2003/3/31
409,BD,2003/4/30
409,DB,2006/6/8
409,BD,2008/4/25
409,DB,2009/4/20
409,BD,2011/4/29
409,DB,2012/5/22
409,BA,2013/4/2
409,AD,2018/6/22
410,AD,2017/4/29
410,DA,2018/2/28
411,AB,2000/4/6
411,BC,2001/4/23
411,CB,2002/6/19
411,BA,2005/5/12
412,AB,2002/4/29
412,AX,2003/9/17
413,AB,1998/4/30
413,BA,2000/4/26
413,AD,2007/4/10
413,DA,2008/4/22
415,AD,2010/3/15
415,DB,2011/4/7
415,BA,2011/10/25
418,AB,2003/4/29
418,BD,2003/4/30
418,DA,2004/5/11
420,AD,2012/2/27
420,DA,2013/4/25
422,AD,2018/4/21
430,AB,2001/4/26
430,BA,2002/3/6
430,AD,2007/3/9
430,DB,2008/5/21
430,BD,2010/2/5
430,DB,2011/4/12
430,BA,2012/4/24
498,AB,2003/4/15
498,BD,2003/4/30
498,DA,2004/3/22
498,AD,2007/4/17
498,DA,2013/5/3
502,AB,1999/4/30
502,BA,2001/3/22
503,AB,1998/6/12
503,BA,2000/3/20
504,AB,2000/4/18
504,BA,2001/3/8
504,AD,2010/4/22
504,DB,2011/5/16
504,BD,2013/10/28
504,DA,2015/3/30
504,AD,2016/4/25
504,DA,2017/5/11
505,AB,2003/4/28
505,BD,2003/4/30
505,DB,2004/4/29
505,BD,2006/4/25
505,DA,2007/6/5
505,AD,2009/4/28
505,DB,2010/6/2
505,BD,2013/3/28
505,DA,2014/4/15
505,AD,2016/4/25
505,DA,2017/5/18
506,AB,1998/4/29
506,BA,2001/2/10
